                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.62791,                0.96723,                0.57176,                 1.0508,                0.85952,                0.77994,                0.88621,                0.69104,                0.87227,                0.74106,                 0.8601,                0.65787,                0.72129,                 1.7227,                0.86084,                 1.2419,              0.0065845,              0.0065845,              0.0065845
                     71,                0.64802,                 0.8899,                0.56377,                 1.0618,                0.86106,                0.78416,                0.88752,                0.70662,                0.85129,                0.77574,                0.87476,                0.67443,                0.72466,                   1.71,                0.84668,                   1.28,               0.006535,               0.006535,               0.006535
                     72,                0.63503,                0.93192,                0.56287,                 1.0531,                0.86885,                 0.7792,                0.87626,                0.69311,                  0.848,                0.76257,                0.85847,                0.66579,                0.76631,                 1.7235,                0.90556,                 1.3269,              0.0064855,              0.0064855,              0.0064855
                     73,                0.63416,                0.81107,                0.54902,                 1.0501,                0.76233,                0.82261,                0.88687,                0.67012,                0.87856,                0.71298,                0.85885,                 0.6527,                 0.7869,                 1.9071,                0.85333,                 1.3239,               0.006436,               0.006436,               0.006436
                     74,                0.65353,                0.85398,                0.57466,                 1.0536,                0.85296,                0.80804,                0.87802,                0.68864,                0.85253,                0.77581,                0.87202,                0.65707,                0.75997,                 1.9297,                0.80918,                 1.2912,              0.0063865,              0.0063865,              0.0063865
                     75,                0.61086,                0.86794,                0.54032,                 1.0302,                0.86709,                0.91229,                0.94341,                0.73364,                0.85966,                0.90437,                 0.9341,                0.70247,                0.76984,                 1.8526,                0.64563,                 1.2962,               0.006337,               0.006337,               0.006337
                     76,                0.63188,                 0.8676,                0.56266,                   1.05,                 0.8726,                0.83819,                0.93023,                0.74597,                0.87089,                0.83866,                  0.922,                0.71976,                0.71878,                 1.6162,                0.72737,                 1.2441,              0.0062875,              0.0062875,              0.0062875
                     77,                0.63568,                0.80014,                0.56606,                   1.04,                0.85791,                 0.7958,                0.87864,                0.69727,                 0.8116,                0.84042,                0.87966,                0.68244,                0.72865,                  1.658,                0.80864,                 1.2687,               0.006238,               0.006238,               0.006238
                     78,                0.63376,                0.82829,                0.56332,                  1.053,                0.78374,                0.83379,                0.84882,                0.66475,                0.90454,                0.73922,                0.83532,                0.63862,                0.77985,                 1.8812,                 0.8881,                 1.3016,              0.0061885,              0.0061885,              0.0061885
                     79,                0.64092,                0.84186,                0.53581,                  1.076,                0.91116,                0.77674,                0.89811,                0.71177,                0.91116,                0.77674,                0.89727,                0.68381,                0.76876,                 1.9612,                0.78775,                 1.2954,               0.006139,               0.006139,               0.006139
